Age_BP,Temp_Delta
69.976,-4.28
70.061,-4.24
70.146,-4.24
70.23,-4.25
70.315,-4.3
70.4,-4.43
70.485,-4.58
70.57,-4.74
70.655,-4.86
70.74,-4.93
70.826,-4.97
70.911,-4.93
70.996,-4.9
71.082,-4.89
71.167,-4.9
71.253,-4.93
71.339,-4.95
71.424,-4.96
71.51,-5.01
71.596,-5.04
71.682,-5.08
71.768,-5.16
71.854,-5.26
71.94,-5.42
72.026,-5.54
72.112,-5.52
72.198,-5.48
72.284,-5.36
72.37,-5.24
72.455,-5.14
72.541,-5.06
72.626,-4.99
72.711,-4.93
72.796,-4.91
72.881,-4.89
72.965,-4.8
73.049,-4.72
73.133,-4.71
73.217,-4.71
73.301,-4.7
73.384,-4.72
73.468,-4.69
73.551,-4.64
73.634,-4.53
73.716,-4.38
73.799,-4.26
73.881,-4.19
73.964,-4.21
74.046,-4.2
74.128,-4.12
74.21,-4.07
74.291,-4.02
74.373,-4.01
74.455,-4.02
74.536,-4.03
74.618,-4.03
74.7,-4.05
74.781,-4.08
74.863,-4.11
74.945,-4.1
75.027,-4.06
75.109,-4.03
75.191,-4.07
75.273,-4.18
75.355,-4.36
75.438,-4.49
75.52,-4.61
75.603,-4.73
75.686,-4.74
75.769,-4.73
75.852,-4.9
75.935,-5.06
76.018,-5.1
76.102,-5.11
76.185,-5.04
76.269,-4.96
76.352,-4.91
76.436,-4.86
76.519,-4.78
76.603,-4.69
76.686,-4.68
76.769,-4.71
76.852,-4.74
76.935,-4.74
77.018,-4.74
77.101,-4.68
77.183,-4.6
77.265,-4.52
77.347,-4.48
77.429,-4.43
77.51,-4.34
77.591,-4.21
77.672,-4.09
77.753,-4.02
77.833,-4.03
77.913,-4.02
77.993,-3.93
78.072,-3.89
78.151,-3.9
78.23,-3.97
78.309,-4.09
78.387,-4.2
78.466,-4.24
78.544,-4.24
78.621,-4.26
78.699,-4.25
78.776,-4.17
78.853,-4.09
78.93,-4.11
79.007,-4.1
79.083,-4.03
79.159,-3.93
79.235,-3.86
79.31,-3.77
79.386,-3.64
79.461,-3.51
